preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
794150,4375;6;4;4;4;4;226;29;157,5321045;635,5806274;1042,015015;1793,94104;3513,939941
140400,0156;2;2;2;2;2;67,05000305;22;1448,583984;1638,83606;1308,852051;2064,191895;2093,959961
1573000;3;12;3;3;4;297,019989;12;982,8308716;968,0070801;1170,96106;1353,524048;5295,939941
71900,16406;4;10;2;1;1;51,20000076;1;419,9648132;171,212204;763,4495239;4745,499023;1404,300049
350000,5938;3;5;4;3;4;205;10;1113,907959;880,5164185;3344,596924;3318,861084;1707,319946
1436240,875;6;7;4;4;6;278,4400024;30;1044,959961;1091,031006;2265,541992;2590,10498;5158,169922
236533,5938;3;5;1;1;1;47,90999985;36;397,4176025;1789,840942;3160,518066;2582,38501;4937,040039
125000,2969;6;9;2;2;1;71,12999725;0;583,7752075;701,5631714;5837,820801;3105,928955;1757,349976
90660,25;6;8;2;1;1;49,95000076;8;763,3372803;369,6594849;1108,321045;7400,73584;1815,02002
74699,99219;6;8;1;1;1;28,63999939;30;994,6873169;1802,71106;287,3468018;283,4797058;2608,23999
1065199,875;5;12;3;3;3;198,2799988;25;860,8010864;1467,187988;514,053772;1425,430054;5372,200195
195003,1406;3;6;3;2;2;69,25;30;1748,831055;887,3723755;1588,859009;2206,849121;2815,929932
217999,6406;3;11;3;2;2;95,36000061;33;229,5720062;636,1699829;2163,36792;2298,095947;2286,070068
866999,25;6;2;4;3;4;213,0899963;35;792,9794922;279,7885132;3316,308105;2834,5979;4068,699951
715999,125;4;9;4;3;3;197,3699951;33;413,3140869;2461,778076;742,5186157;2802,391113;3627,699951
477999,625;3;3;4;3;3;157,0099945;33;1344,58606;2113,810059;1851,896973;1497,67395;3044,389893
473300,9688;2;3;4;3;4;204,2299957;30;2034,764038;448,9396973;3209,851074;1194,337036;2317,48999
398090,6875;4;11;4;3;3;164,3000031;38;227,803299;825,9224243;1140,536011;1115,317017;2422,949951
158000,3438;3;6;3;2;2;80,91999817;34;1460,371948;3419,163086;451,7919006;2568,177979;1952,550049
89000,10156;6;11;2;1;1;51;0;804,850708;974,4539795;5362,655762;1245,537964;1745,099976
92969,90625;3;6;2;1;1;50,59999847;29;695,8814087;89,75110626;3473,708984;2109,468018;1837,349976
